True_Class,Pred_Class,True_Risk_pips,Pred_Risk_pips
1,1,0.0958259,0.13734743
1,1,0.09585491,0.13762662
1,1,0.095848255,0.1411383
2,1,0.095877275,0.14897898
2,1,0.08953454,0.157563
1,1,0.08950745,0.17203513
1,0,0.08950745,0.1879135
1,0,0.08950238,0.1870633
1,1,0.08953285,0.16708662
1,0,0.089508586,0.18104438
1,1,0.08950633,0.17903164
2,1,0.07757218,0.15308586
1,1,0.07693181,0.13536945
1,1,0.06871899,0.13974392
1,1,0.068724625,0.13760856
1,1,0.06869907,0.15344493
1,1,0.07562723,0.15293226
2,1,0.09013836,0.1442612
2,1,0.09078701,0.13059524
2,1,0.09076927,0.13009599
2,1,0.124828205,0.13156603
2,1,0.12483293,0.12986809
2,1,0.12482978,0.13053975
2,1,0.12481482,0.12712944
2,2,0.12484945,0.14783129
2,2,0.106545284,0.14137748
2,1,0.08257378,0.13846077
1,1,0.06869864,0.13768104
0,1,0.10650231,0.13292351
0,1,0.16004738,0.13378221
0,1,0.16004032,0.10983181
0,1,0.1600373,0.11211275
0,1,0.14803803,0.12059826
1,1,0.14807346,0.122700155
0,1,0.14806508,0.12260258
1,1,0.14806414,0.12126173
0,0,0.14804548,0.19913983
0,0,0.14300294,0.20803916
1,0,0.12728499,0.18860067
1,0,0.121624604,0.18580927
2,1,0.12167981,0.15225923
2,1,0.07565584,0.14710043
1,1,0.071857646,0.12048064
2,2,0.07187169,0.12786666
2,1,0.0598859,0.12471991
1,1,0.062398367,0.12940985
1,1,0.062398758,0.13304386
1,1,0.06994637,0.1361926
2,1,0.08192279,0.12078287
2,1,0.080694474,0.12864871
2,1,0.061764967,0.11496488
1,1,0.052934393,0.12258597
1,1,0.052935395,0.11990253
1,1,0.052936394,0.117837384
1,1,0.06428193,0.10318834
1,1,0.06427748,0.100381
1,1,0.06427059,0.098188564
1,1,0.06427262,0.10029232
1,1,0.06427262,0.09808658
0,1,0.06426128,0.101407476
0,0,0.06425521,0.13416511
0,1,0.0661559,0.11940256
0,1,0.06740879,0.12386003
0,1,0.056706846,0.11750838
0,1,0.056073587,0.11046773
1,1,0.03214056,0.10697829
1,1,0.032143194,0.08834089
1,1,0.032142993,0.084945835
1,1,0.030880926,0.08594291
1,1,0.042857323,0.08266744
1,1,0.042857323,0.08274283
1,1,0.042857595,0.08096865
1,1,0.042859484,0.080312885
1,1,0.042862996,0.08341976
1,1,0.0390822,0.08288761
1,1,0.038451597,0.07871815
1,1,0.035926107,0.07663807
1,1,0.035924975,0.07627366
1,1,0.033405185,0.07761282
1,1,0.0334035,0.079744294
1,1,0.033401396,0.078824244
1,1,0.032769322,0.08084018
1,1,0.032769322,0.08134368
1,1,0.032767463,0.081225514
1,1,0.030880148,0.07721521
1,1,0.030880537,0.07437748
1,1,0.030882677,0.07179673
1,1,0.030880926,0.075842984
1,1,0.042861376,0.080497965
1,1,0.03718128,0.08195939
2,1,0.052309494,0.07377051
2,1,0.06680532,0.07153855
2,1,0.061761074,0.07284532
2,1,0.06113086,0.06900967
2,1,0.06553699,0.0709914
